time,heart,breath,gsr,date
3235631,2411,1084,577,2019-03-17_20:14:19.456000
3235731,2407,1090,585,2019-03-17_20:14:19.561000
3235831,2399,1084,592,2019-03-17_20:14:19.664000
3235931,2399,1085,593,2019-03-17_20:14:19.761000
3236031,2391,1089,592,2019-03-17_20:14:19.866000
3236131,2391,1071,582,2019-03-17_20:14:19.995000
3236231,2391,1075,592,2019-03-17_20:14:20.054000
3236331,2413,1073,602,2019-03-17_20:14:20.158000
3236431,2416,1075,578,2019-03-17_20:14:20.260000
3236531,2385,1088,592,2019-03-17_20:14:20.361000
3236631,2389,1104,596,2019-03-17_20:14:20.462000
3236731,2389,1088,600,2019-03-17_20:14:20.556000
3236831,2389,1084,586,2019-03-17_20:14:20.659000
3236931,2390,1074,592,2019-03-17_20:14:20.759000
3237031,2384,1075,589,2019-03-17_20:14:20.858000
3237131,2387,1088,596,2019-03-17_20:14:20.960000
3237231,2387,1109,594,2019-03-17_20:14:21.055000
3237331,2387,1104,592,2019-03-17_20:14:21.157000
3237431,2387,1090,592,2019-03-17_20:14:21.262000
3237531,2387,1091,595,2019-03-17_20:14:21.363000
3237631,2384,1108,597,2019-03-17_20:14:21.479000
3237731,2384,1090,590,2019-03-17_20:14:21.562000
3237831,2390,1097,587,2019-03-17_20:14:21.681000
3237931,2384,1088,592,2019-03-17_20:14:21.758000
3238031,2389,1088,592,2019-03-17_20:14:21.859000
3238131,2387,1096,598,2019-03-17_20:14:21.962000
3238231,2387,1078,594,2019-03-17_20:14:22.068000
3238331,2385,1068,592,2019-03-17_20:14:22.159000
3238431,2387,1044,578,2019-03-17_20:14:22.256000
3238531,2387,1061,595,2019-03-17_20:14:22.357000
3238631,2385,1047,594,2019-03-17_20:14:22.459000
3238731,2386,1051,602,2019-03-17_20:14:22.561000
3238831,2385,1037,592,2019-03-17_20:14:22.665000
3238931,2391,1040,592,2019-03-17_20:14:22.823000
3239031,2389,1037,592,2019-03-17_20:14:22.909000
3239131,2391,1049,588,2019-03-17_20:14:22.978000
3239231,2393,1063,590,2019-03-17_20:14:23.058000
3239331,2394,1101,592,2019-03-17_20:14:23.162000
3239431,2398,1200,580,2019-03-17_20:14:23.277000
3239531,2395,1205,597,2019-03-17_20:14:23.384000
3239631,2394,1166,592,2019-03-17_20:14:23.465000
3239731,2385,1210,592,2019-03-17_20:14:23.557000
3239831,2391,1213,614,2019-03-17_20:14:23.679000
3239931,2390,1282,578,2019-03-17_20:14:23.803000
3240031,2394,1264,601,2019-03-17_20:14:23.890000
3240131,2390,1321,585,2019-03-17_20:14:23.997000
3240231,2387,1255,592,2019-03-17_20:14:24.126000
3240331,2393,1264,592,2019-03-17_20:14:24.260000
3240431,2389,1277,592,2019-03-17_20:14:24.376000
3240531,2391,1267,601,2019-03-17_20:14:24.481000
3240631,2393,1186,594,2019-03-17_20:14:24.557000
3240731,2391,1214,601,2019-03-17_20:14:24.615000
3240831,2386,1290,586,2019-03-17_20:14:24.721000
3240931,2390,1219,602,2019-03-17_20:14:24.776000
3241031,2399,1232,608,2019-03-17_20:14:24.859000
3241131,2399,1229,592,2019-03-17_20:14:24.995000
3241231,2397,1248,593,2019-03-17_20:14:25.111000
3241331,2385,1167,596,2019-03-17_20:14:25.191000
3241431,2394,1186,608,2019-03-17_20:14:25.303000
3241531,2394,1156,597,2019-03-17_20:14:25.356000
3241631,2391,1155,608,2019-03-17_20:14:25.464000
3241731,2398,1144,606,2019-03-17_20:14:25.588000
3241831,2398,1112,569,2019-03-17_20:14:25.715000
3241931,2390,1134,600,2019-03-17_20:14:25.864000
3242031,2470,1102,676,2019-03-17_20:14:25.948000
3242131,2416,1092,658,2019-03-17_20:14:26.040000
3242231,2381,1102,656,2019-03-17_20:14:26.122000
3242331,2366,1104,627,2019-03-17_20:14:26.217000
3242431,2374,1116,624,2019-03-17_20:14:26.325000
3242531,2351,1104,624,2019-03-17_20:14:26.446000
3242631,2346,1095,597,2019-03-17_20:14:26.509000
3242731,2372,1130,565,2019-03-17_20:14:26.598000
3242831,2407,1145,556,2019-03-17_20:14:26.694000
3242931,2423,1129,556,2019-03-17_20:14:26.785000
3243031,2426,1090,551,2019-03-17_20:14:26.885000
3243131,2426,1100,564,2019-03-17_20:14:26.967000
3243231,2430,1121,564,2019-03-17_20:14:27.059000
3243331,2438,1140,579,2019-03-17_20:14:27.161000
3243431,2427,1122,571,2019-03-17_20:14:27.303000
3243531,2419,1122,560,2019-03-17_20:14:27.424000
3243631,2419,1142,566,2019-03-17_20:14:27.536000
3243731,2423,1152,570,2019-03-17_20:14:27.648000
3243831,2429,1202,569,2019-03-17_20:14:27.738000
3243931,2426,1232,576,2019-03-17_20:14:27.823000
3244031,2421,1245,565,2019-03-17_20:14:27.908000
3244131,2422,1241,606,2019-03-17_20:14:28.019000
3244231,2422,1227,580,2019-03-17_20:14:28.164000
3244331,2417,1293,560,2019-03-17_20:14:28.259000
3244431,2421,1277,605,2019-03-17_20:14:28.380000
3244531,2421,1226,624,2019-03-17_20:14:28.468000
3244631,2417,1176,587,2019-03-17_20:14:28.601000
3244731,2417,1124,598,2019-03-17_20:14:28.752000
3244831,2418,1116,598,2019-03-17_20:14:28.837000
3244931,2416,1141,624,2019-03-17_20:14:28.938000
3245031,2421,1118,625,2019-03-17_20:14:29.042000
3245131,2419,1120,627,2019-03-17_20:14:29.159000
3245231,2416,1133,641,2019-03-17_20:14:29.300000
3245331,2416,1107,592,2019-03-17_20:14:29.448000
3245431,2421,1093,648,2019-03-17_20:14:29.537000
3245531,2417,1120,652,2019-03-17_20:14:29.593000
3245631,2421,1122,624,2019-03-17_20:14:29.651000
3245731,2429,1104,640,2019-03-17_20:14:29.749000
3245831,2431,1107,596,2019-03-17_20:14:29.870000
3245931,2431,1120,638,2019-03-17_20:14:29.962000
3246031,2430,1120,616,2019-03-17_20:14:30.064000
3246131,2431,1136,608,2019-03-17_20:14:30.168000
3246231,2429,1130,586,2019-03-17_20:14:30.264000
3246331,2431,1088,606,2019-03-17_20:14:30.354000
3246431,2429,1088,642,2019-03-17_20:14:30.444000
3246531,2431,1089,624,2019-03-17_20:14:30.528000
3246631,2434,1123,618,2019-03-17_20:14:30.625000
3246731,2431,1132,595,2019-03-17_20:14:30.725000
3246831,2429,1136,656,2019-03-17_20:14:30.823000
3246931,2430,1152,638,2019-03-17_20:14:30.910000
3247031,2431,1145,624,2019-03-17_20:14:31.000000
3247131,2434,1200,627,2019-03-17_20:14:31.086000
3247231,2431,1214,656,2019-03-17_20:14:31.151000
3247331,2431,1194,632,2019-03-17_20:14:31.204000
3247431,2434,1200,644,2019-03-17_20:14:31.275000
3247531,2431,1211,635,2019-03-17_20:14:31.359000
3247631,2435,1211,640,2019-03-17_20:14:31.458000
3247731,2431,1212,637,2019-03-17_20:14:31.559000
3247831,2434,1216,640,2019-03-17_20:14:31.665000
3247931,2437,1169,653,2019-03-17_20:14:31.795000
3248031,2438,1163,634,2019-03-17_20:14:31.884000
3248131,2431,1168,647,2019-03-17_20:14:31.966000
3248231,2431,1163,660,2019-03-17_20:14:32.055000
3248331,2433,1158,656,2019-03-17_20:14:32.157000
3248431,2435,1166,649,2019-03-17_20:14:32.258000
3248531,2431,1185,665,2019-03-17_20:14:32.360000
3248631,2431,1184,646,2019-03-17_20:14:32.455000
3248731,2434,1193,629,2019-03-17_20:14:32.559000
3248831,2433,1168,645,2019-03-17_20:14:32.659000
3248931,2433,1181,656,2019-03-17_20:14:32.759000
3249031,2437,1180,660,2019-03-17_20:14:32.858000
3249131,2431,1190,654,2019-03-17_20:14:32.956000
3249231,2437,1171,644,2019-03-17_20:14:33.056000
3249331,2438,1196,658,2019-03-17_20:14:33.159000
3249431,2443,1190,652,2019-03-17_20:14:33.260000
3249531,2438,1173,658,2019-03-17_20:14:33.358000
3249631,2443,1168,641,2019-03-17_20:14:33.456000
3249731,2447,1168,658,2019-03-17_20:14:33.556000
3249831,2439,1191,628,2019-03-17_20:14:33.659000
3249931,2443,1200,640,2019-03-17_20:14:33.763000
3250031,2447,1153,654,2019-03-17_20:14:33.895000
3250131,2443,1199,644,2019-03-17_20:14:33.962000
3250231,2443,1184,662,2019-03-17_20:14:34.056000
3250331,2447,1184,640,2019-03-17_20:14:34.160000
3250431,2447,1175,656,2019-03-17_20:14:34.267000
3250531,2448,1191,638,2019-03-17_20:14:34.398000
3250631,2448,1174,618,2019-03-17_20:14:34.539000
3250731,2450,1175,640,2019-03-17_20:14:34.609000
3250831,2453,1174,636,2019-03-17_20:14:34.662000
3250931,2455,1190,621,2019-03-17_20:14:34.761000
3251031,2466,1185,609,2019-03-17_20:14:34.896000
3251131,2465,1152,634,2019-03-17_20:14:34.992000
3251231,2459,1136,622,2019-03-17_20:14:35.083000
3251331,2471,1116,629,2019-03-17_20:14:35.181000
3251431,2478,1120,603,2019-03-17_20:14:35.259000
3251531,2475,1111,624,2019-03-17_20:14:35.362000
3251631,2477,1104,640,2019-03-17_20:14:35.484000
3251731,2474,1102,588,2019-03-17_20:14:35.595000
3251831,2477,1097,613,2019-03-17_20:14:35.727000
3251931,2478,1101,592,2019-03-17_20:14:35.842000
3252031,2475,1104,598,2019-03-17_20:14:35.923000
3252131,2479,1097,624,2019-03-17_20:14:36.003000
3252231,2480,1104,640,2019-03-17_20:14:36.080000
3252331,2477,1104,625,2019-03-17_20:14:36.162000
3252431,2471,1111,560,2019-03-17_20:14:36.259000
3252531,2475,1136,609,2019-03-17_20:14:36.357000
3252631,2481,1149,570,2019-03-17_20:14:36.459000
3252731,2480,1130,595,2019-03-17_20:14:36.561000
3252831,2482,1117,619,2019-03-17_20:14:36.661000
3252931,2479,1136,594,2019-03-17_20:14:36.761000
3253031,2487,1162,592,2019-03-17_20:14:36.874000
3253131,2494,1174,576,2019-03-17_20:14:36.975000
3253231,2491,1141,564,2019-03-17_20:14:37.096000
3253331,2491,1161,576,2019-03-17_20:14:37.192000
3253431,2495,1147,624,2019-03-17_20:14:37.292000
3253531,2486,1186,598,2019-03-17_20:14:37.407000
3253631,2495,1178,582,2019-03-17_20:14:37.518000
3253731,2495,1168,592,2019-03-17_20:14:37.593000
3253831,2487,1141,616,2019-03-17_20:14:37.669000
3253931,2485,1153,602,2019-03-17_20:14:37.769000
3254031,2496,1136,592,2019-03-17_20:14:37.895000
3254131,2495,1166,597,2019-03-17_20:14:37.993000
3254231,2487,1160,592,2019-03-17_20:14:38.109000
3254331,2493,1131,587,2019-03-17_20:14:38.187000
3254431,2493,1101,610,2019-03-17_20:14:38.267000
3254531,2487,1094,598,2019-03-17_20:14:38.373000
3254631,2486,1076,603,2019-03-17_20:14:38.456000
3254731,2491,1088,602,2019-03-17_20:14:38.557000
3254831,2490,1083,594,2019-03-17_20:14:38.655000
3254931,2491,1080,588,2019-03-17_20:14:38.757000
3255031,2486,1077,584,2019-03-17_20:14:38.857000
3255131,2487,1070,592,2019-03-17_20:14:38.959000
3255231,2487,1067,600,2019-03-17_20:14:39.062000
3255331,2482,1056,608,2019-03-17_20:14:39.159000
3255431,2480,1053,602,2019-03-17_20:14:39.260000
3255531,2480,1056,601,2019-03-17_20:14:39.361000
3255631,2492,1058,612,2019-03-17_20:14:39.458000
3255731,2487,1034,598,2019-03-17_20:14:39.558000
3255831,2479,1042,609,2019-03-17_20:14:39.660000
3255931,2480,1060,608,2019-03-17_20:14:39.785000
3256031,2478,1029,600,2019-03-17_20:14:39.858000
3256131,2480,1066,605,2019-03-17_20:14:39.958000
3256231,2483,1089,612,2019-03-17_20:14:40.060000
3256331,2481,1081,608,2019-03-17_20:14:40.165000
3256431,2480,1120,608,2019-03-17_20:14:40.261000
3256531,2481,1143,593,2019-03-17_20:14:40.391000
3256631,2483,1127,593,2019-03-17_20:14:40.456000
3256731,2480,1130,606,2019-03-17_20:14:40.564000
3256831,2478,1125,594,2019-03-17_20:14:40.703000
3256931,2479,1109,596,2019-03-17_20:14:40.796000
3257031,2479,1120,604,2019-03-17_20:14:40.894000
3257131,2478,1110,602,2019-03-17_20:14:40.989000
3257231,2480,1100,608,2019-03-17_20:14:41.082000
3257331,2478,1104,598,2019-03-17_20:14:41.214000
3257431,2479,1060,593,2019-03-17_20:14:41.367000
3257531,2480,1066,595,2019-03-17_20:14:41.462000
3257631,2477,1061,602,2019-03-17_20:14:41.555000
3257731,2455,1056,602,2019-03-17_20:14:41.607000
3257831,2434,1050,608,2019-03-17_20:14:41.662000
3257931,2473,1069,596,2019-03-17_20:14:41.757000
3258031,2477,1058,592,2019-03-17_20:14:41.904000
3258131,2467,1088,604,2019-03-17_20:14:41.995000
3258231,2469,1068,592,2019-03-17_20:14:42.059000
3258331,2467,1069,594,2019-03-17_20:14:42.158000
3258431,2467,1058,601,2019-03-17_20:14:42.261000
3258531,2467,1042,603,2019-03-17_20:14:42.361000
3258631,2466,1058,592,2019-03-17_20:14:42.459000
3258731,2467,1043,602,2019-03-17_20:14:42.562000
3258831,2463,1052,592,2019-03-17_20:14:42.720000
3258931,2466,1056,602,2019-03-17_20:14:42.833000
3259031,2439,1050,599,2019-03-17_20:14:42.974000
3259131,2455,1056,592,2019-03-17_20:14:43.129000
3259231,2462,1063,594,2019-03-17_20:14:43.237000
3259331,2463,1049,593,2019-03-17_20:14:43.389000
3259431,2459,1066,589,2019-03-17_20:14:43.502000
3259531,2462,1072,594,2019-03-17_20:14:43.617000
3259631,2459,1072,604,2019-03-17_20:14:43.727000
3259731,2465,1086,592,2019-03-17_20:14:43.823000
3259831,2464,1072,592,2019-03-17_20:14:43.896000
3259931,2459,1073,592,2019-03-17_20:14:43.957000
3260031,2461,1104,608,2019-03-17_20:14:44.011000
3260131,2461,1090,608,2019-03-17_20:14:44.135000
3260231,2457,1107,609,2019-03-17_20:14:44.262000
3260331,2461,1118,604,2019-03-17_20:14:44.413000
3260431,2455,1104,608,2019-03-17_20:14:44.548000
3260531,2459,1100,608,2019-03-17_20:14:44.648000
3260631,2457,1088,598,2019-03-17_20:14:44.727000
3260731,2461,1102,601,2019-03-17_20:14:44.826000
3260831,2463,1089,619,2019-03-17_20:14:44.928000
3260931,2459,1101,603,2019-03-17_20:14:45.037000
3261031,2462,1091,598,2019-03-17_20:14:45.155000
3261131,2461,1098,604,2019-03-17_20:14:45.219000
3261231,2449,1104,568,2019-03-17_20:14:45.292000
3261331,2457,1091,604,2019-03-17_20:14:45.424000
3261431,2461,1093,608,2019-03-17_20:14:45.593000
3261531,2453,1088,598,2019-03-17_20:14:45.727000
3261631,2449,1088,595,2019-03-17_20:14:45.870000
3261731,2447,1076,597,2019-03-17_20:14:46.037000
3261831,2449,1072,597,2019-03-17_20:14:46.149000
3261931,2454,1070,600,2019-03-17_20:14:46.241000
3262031,2455,1067,600,2019-03-17_20:14:46.399000
3262131,2455,1072,588,2019-03-17_20:14:46.541000
3262231,2454,1060,592,2019-03-17_20:14:46.673000
3262331,2455,1072,624,2019-03-17_20:14:46.804000
3262431,2453,1060,608,2019-03-17_20:14:46.890000
3262531,2447,1057,605,2019-03-17_20:14:46.973000
3262631,2431,1046,592,2019-03-17_20:14:47.031000
3262731,2445,1070,608,2019-03-17_20:14:47.100000
3262831,2451,1075,608,2019-03-17_20:14:47.157000
3262931,2453,1085,601,2019-03-17_20:14:47.242000
3263031,2453,1076,605,2019-03-17_20:14:47.341000
3263131,2455,1069,608,2019-03-17_20:14:47.398000
3263231,2455,1061,593,2019-03-17_20:14:47.455000
3263331,2450,1096,602,2019-03-17_20:14:47.521000
3263431,2459,1138,610,2019-03-17_20:14:47.673000
3263531,2453,1131,608,2019-03-17_20:14:47.819000
3263631,2448,1129,620,2019-03-17_20:14:47.966000
3263731,2447,1106,599,2019-03-17_20:14:48.043000
3263831,2463,1100,592,2019-03-17_20:14:48.133000
3263931,2455,1094,560,2019-03-17_20:14:48.252000
3264031,2451,1096,550,2019-03-17_20:14:48.331000
3264131,2459,1082,576,2019-03-17_20:14:48.398000
3264231,2467,1088,571,2019-03-17_20:14:48.487000
3264331,2455,1079,554,2019-03-17_20:14:48.580000
3264431,2459,1072,580,2019-03-17_20:14:48.651000
3264531,2453,1067,553,2019-03-17_20:14:48.729000
3264631,2451,1072,560,2019-03-17_20:14:48.801000
3264731,2448,1078,560,2019-03-17_20:14:48.874000
3264831,2446,1081,576,2019-03-17_20:14:48.943000
3264931,2448,1072,505,2019-03-17_20:14:49.053000
3265031,2457,1046,557,2019-03-17_20:14:49.182000
3265131,2459,1053,541,2019-03-17_20:14:49.240000
3265231,2454,1049,496,2019-03-17_20:14:49.306000
3265331,2455,1053,570,2019-03-17_20:14:49.455000
3265431,2455,1050,560,2019-03-17_20:14:49.579000
3265531,2449,1058,504,2019-03-17_20:14:49.668000
3265631,2461,1060,542,2019-03-17_20:14:49.779000
3265731,2454,1066,525,2019-03-17_20:14:49.836000
3265831,2453,1048,507,2019-03-17_20:14:49.913000
3265931,2451,1058,534,2019-03-17_20:14:49.973000
3266031,2454,1046,562,2019-03-17_20:14:50.133000
3266131,2451,1052,502,2019-03-17_20:14:50.300000
3266231,2446,1055,536,2019-03-17_20:14:50.469000
3266331,2447,1106,538,2019-03-17_20:14:50.634000
3266431,2447,1075,552,2019-03-17_20:14:50.793000
3266531,2445,1060,432,2019-03-17_20:14:50.947000
3266631,2442,1034,535,2019-03-17_20:14:51.062000
3266731,2445,1030,545,2019-03-17_20:14:51.160000
3266831,2439,1000,535,2019-03-17_20:14:51.247000
3266931,2439,1023,525,2019-03-17_20:14:51.329000
3267031,2437,1010,528,2019-03-17_20:14:51.444000
3267131,2438,1008,531,2019-03-17_20:14:51.531000
3267231,2427,1006,490,2019-03-17_20:14:51.628000
3267331,2431,1023,528,2019-03-17_20:14:51.741000
3267431,2437,1008,498,2019-03-17_20:14:51.838000
3267531,2431,1005,539,2019-03-17_20:14:51.940000
3267631,2422,1008,544,2019-03-17_20:14:52.043000
3267731,2431,1018,539,2019-03-17_20:14:52.148000
3267831,2431,1038,508,2019-03-17_20:14:52.208000
3267931,2431,1023,504,2019-03-17_20:14:52.273000
3268031,2431,1046,525,2019-03-17_20:14:52.369000
3268131,2427,1047,496,2019-03-17_20:14:52.491000
3268231,2423,1040,530,2019-03-17_20:14:52.613000
3268331,2427,1045,508,2019-03-17_20:14:52.731000
3268431,2423,1036,530,2019-03-17_20:14:52.858000
3268531,2422,1043,520,2019-03-17_20:14:52.986000
3268631,2415,1047,505,2019-03-17_20:14:53.117000
3268731,2423,1037,473,2019-03-17_20:14:53.248000
3268831,2417,1049,496,2019-03-17_20:14:53.345000
3268931,2417,1056,492,2019-03-17_20:14:53.424000
3269031,2421,1037,464,2019-03-17_20:14:53.543000
3269131,2416,1040,496,2019-03-17_20:14:53.674000
3269231,2413,1060,496,2019-03-17_20:14:53.799000
3269331,2416,1056,489,2019-03-17_20:14:53.964000
3269431,2410,1088,483,2019-03-17_20:14:54.060000
3269531,2412,1075,511,2019-03-17_20:14:54.142000
3269631,2413,1080,464,2019-03-17_20:14:54.279000
3269731,2411,1088,464,2019-03-17_20:14:54.377000
3269831,2405,1101,486,2019-03-17_20:14:54.509000
3269931,2412,1099,494,2019-03-17_20:14:54.571000
3270031,2405,1072,496,2019-03-17_20:14:54.664000
3270131,2407,1072,496,2019-03-17_20:14:54.749000
3270231,2399,1072,482,2019-03-17_20:14:54.915000
3270331,2401,1044,497,2019-03-17_20:14:55.048000
3270431,2397,1042,504,2019-03-17_20:14:55.134000
3270531,2399,1050,496,2019-03-17_20:14:55.264000
3270631,2418,1040,489,2019-03-17_20:14:55.378000
3270731,2395,1052,528,2019-03-17_20:14:55.515000
3270831,2396,1040,477,2019-03-17_20:14:55.667000
3270931,2391,1038,496,2019-03-17_20:14:55.773000
3271031,2384,1044,492,2019-03-17_20:14:55.862000
3271131,2390,1020,510,2019-03-17_20:14:55.967000
3271231,2389,1044,496,2019-03-17_20:14:56.053000
3271331,2407,1043,524,2019-03-17_20:14:56.145000
3271431,2373,1042,498,2019-03-17_20:14:56.248000
3271531,2385,1043,490,2019-03-17_20:14:56.356000
3271631,2384,1111,520,2019-03-17_20:14:56.476000
3271731,2389,992,524,2019-03-17_20:14:56.579000
3271831,2384,1023,508,2019-03-17_20:14:56.707000
3271931,2383,1023,496,2019-03-17_20:14:56.853000
3272031,2384,1049,519,2019-03-17_20:14:56.974000
3272131,2378,1010,496,2019-03-17_20:14:57.077000
3272231,2379,1031,472,2019-03-17_20:14:57.185000
3272331,2398,1047,521,2019-03-17_20:14:57.277000
3272431,2379,1038,485,2019-03-17_20:14:57.397000
3272531,2377,1042,523,2019-03-17_20:14:57.497000
3272631,2371,1056,550,2019-03-17_20:14:57.657000
3272731,2378,1043,524,2019-03-17_20:14:57.754000
3272831,2375,1060,509,2019-03-17_20:14:57.832000
3272931,2371,1041,520,2019-03-17_20:14:57.914000
3273031,2373,1058,537,2019-03-17_20:14:58.038000
3273131,2367,1040,555,2019-03-17_20:14:58.130000
3273231,2368,1035,531,2019-03-17_20:14:58.199000
3273331,2369,1020,545,2019-03-17_20:14:58.299000
3273431,2366,1030,576,2019-03-17_20:14:58.423000
3273531,2371,1019,551,2019-03-17_20:14:58.556000
3273631,2367,1040,505,2019-03-17_20:14:58.691000
3273731,2368,1036,560,2019-03-17_20:14:58.802000
3273831,2366,1023,524,2019-03-17_20:14:58.971000
3273931,2366,1020,544,2019-03-17_20:14:59.062000
3274031,2365,1035,508,2019-03-17_20:14:59.163000
3274131,2366,1040,528,2019-03-17_20:14:59.290000
3274231,2365,1040,578,2019-03-17_20:14:59.387000
3274331,2369,1054,549,2019-03-17_20:14:59.543000
3274431,2365,1044,548,2019-03-17_20:14:59.696000
3274531,2359,1049,548,2019-03-17_20:14:59.860000
3274631,2358,1041,540,2019-03-17_20:14:59.979000
3274731,2358,1040,540,2019-03-17_20:15:00.065000
3274831,2361,1042,560,2019-03-17_20:15:00.140000
3274931,2358,1038,544,2019-03-17_20:15:00.228000
3275031,2355,1034,570,2019-03-17_20:15:00.390000
3275131,2365,1038,532,2019-03-17_20:15:00.455000
3275231,2362,1019,558,2019-03-17_20:15:00.547000
3275331,2363,1018,538,2019-03-17_20:15:00.610000
3275431,2359,1008,548,2019-03-17_20:15:00.671000
3275531,2363,1010,544,2019-03-17_20:15:00.740000
3275631,2359,1016,532,2019-03-17_20:15:00.975000
3275731,2358,1021,525,2019-03-17_20:15:01.092000
3275831,2359,1018,578,2019-03-17_20:15:01.191000
3275931,2355,1042,558,2019-03-17_20:15:01.306000
3276031,2359,1051,532,2019-03-17_20:15:01.466000
3276131,2359,1022,572,2019-03-17_20:15:01.555000
3276231,2358,1011,565,2019-03-17_20:15:01.626000
3276331,2355,1008,557,2019-03-17_20:15:01.690000
3276431,2361,1037,556,2019-03-17_20:15:01.770000
3276531,2357,1012,538,2019-03-17_20:15:01.917000
3276631,2352,1019,546,2019-03-17_20:15:02.093000
3276731,2355,1018,557,2019-03-17_20:15:02.226000
3276831,2353,1016,564,2019-03-17_20:15:02.285000
3276931,2357,1008,561,2019-03-17_20:15:02.346000
3277031,2353,1004,566,2019-03-17_20:15:02.414000
3277131,2352,1000,556,2019-03-17_20:15:02.511000
3277231,2354,997,560,2019-03-17_20:15:02.673000
3277331,2353,986,565,2019-03-17_20:15:02.833000
3277431,2354,998,546,2019-03-17_20:15:02.932000
3277531,2355,1006,566,2019-03-17_20:15:03.027000
3277631,2353,994,555,2019-03-17_20:15:03.152000
3277731,2354,992,560,2019-03-17_20:15:03.253000
3277831,2352,987,553,2019-03-17_20:15:03.406000
3277931,2352,1008,565,2019-03-17_20:15:03.490000
3278031,2355,986,553,2019-03-17_20:15:03.552000
3278131,2354,992,552,2019-03-17_20:15:03.615000
3278231,2354,1004,546,2019-03-17_20:15:03.764000
3278331,2359,966,554,2019-03-17_20:15:03.924000
3278431,2353,963,568,2019-03-17_20:15:04.090000
3278531,2356,968,570,2019-03-17_20:15:04.259000
3278631,2355,962,562,2019-03-17_20:15:04.416000
3278731,2355,976,560,2019-03-17_20:15:04.546000
3278831,2355,976,574,2019-03-17_20:15:04.646000
3278931,2357,975,578,2019-03-17_20:15:04.737000
3279031,2357,992,564,2019-03-17_20:15:04.829000
3279131,2357,1002,570,2019-03-17_20:15:04.916000
3279231,2355,1002,569,2019-03-17_20:15:04.978000
3279331,2358,1003,560,2019-03-17_20:15:05.039000
3279431,2358,1011,560,2019-03-17_20:15:05.115000
3279531,2352,1017,571,2019-03-17_20:15:05.265000
3279631,2354,1005,560,2019-03-17_20:15:05.364000
3279731,2353,988,570,2019-03-17_20:15:05.420000
3279831,2355,1005,576,2019-03-17_20:15:05.527000
3279931,2356,1004,586,2019-03-17_20:15:05.615000
3280031,2355,970,576,2019-03-17_20:15:05.705000
3280131,2353,982,576,2019-03-17_20:15:05.799000
3280231,2356,976,584,2019-03-17_20:15:05.898000
3280331,2355,976,579,2019-03-17_20:15:06.012000
3280431,2352,960,576,2019-03-17_20:15:06.178000
3280531,2351,976,584,2019-03-17_20:15:06.342000
